Rank,City,State,2016 estimate,Location
31,Milwaukee,Wisconsin,"595,047",43.0633°N 87.9667°W
82,Madison,Wisconsin,"252,551",43.0878°N 89.4299°W
286,Green Bay,Wisconsin,"105,139",44.5207°N 87.9842°W
18,Seattle,Washington,"704,352",47.6205°N 122.3509°W
101,Spokane,Washington,"215,973",47.6669°N 117.4333°W
105,Tacoma,Washington,"211,277",47.2522°N 122.4598°W
144,Vancouver,Washington,"174,826",45.6349°N 122.5957°W
186,Bellevue,Washington,"141,400",47.5979°N 122.1565°W
216,Kent,Washington,"127,514",47.3880°N 122.2127°W
273,Everett,Washington,"109,043",47.9566°N 122.1914°W
304,Renton,Washington,"100,953",47.4761°N 122.1920°W
43,Virginia Beach,Virginia,"452,602",36.7800°N 76.0252°W
88,Norfolk,Virginia,"245,115",36.9230°N 76.2446°W
92,Chesapeake,Virginia,"237,940",36.6794°N 76.3018°W
98,Richmond,Virginia,"223,170",37.5314°N 77.4760°W
135,Newport News,Virginia,"181,825",37.0762°N 76.5220°W
163,Alexandria,Virginia,"155,810",38.8201°N 77.0841°W
194,Hampton,Virginia,"135,410",37.0480°N 76.2971°W
123,Salt Lake City,Utah,"193,744",40.7769°N 111.9310°W
192,West Valley City,Utah,"136,574",40.6885°N 112.0118°W
238,Provo,Utah,"116,868",40.2453°N 111.6448°W
248,West Jordan,Utah,"113,699",40.6024°N 112.0008°W
4,Houston,Texas,"2,303,482",29.7866°N 95.3909°W
7,San Antonio,Texas,"1,492,510",29.4724°N 98.5251°W
9,Dallas,Texas,"1,317,929",32.7933°N 96.7665°W
11,Austin,Texas,"947,890",30.3039°N 97.7544°W
16,Fort Worth,Texas,"854,113",32.7815°N 97.3467°W
20,El Paso,Texas,"683,080",31.8484°N 106.4270°W
48,Arlington,Texas,"392,772",32.7007°N 97.1247°W
58,Corpus Christi,Texas,"325,733",27.7543°N 97.1734°W
69,Plano,Texas,"286,057",33.0508°N 96.7479°W
80,Laredo,Texas,"257,156",27.5604°N 99.4892°W
83,Lubbock,Texas,"252,506",33.5656°N 101.8867°W
91,Irving,Texas,"238,289",32.8577°N 96.9700°W
95,Garland,Texas,"234,943",32.9098°N 96.6303°W
116,Amarillo,Texas,"199,582",35.1999°N 101.8302°W
127,Grand Prairie,Texas,"190,682",32.6869°N 97.0211°W
132,Brownsville,Texas,"183,823",25.9991°N 97.4550°W
147,McKinney,Texas,"172,298",33.1985°N 96.6680°W
157,Frisco,Texas,"163,656",33.1554°N 96.8226°W
166,Pasadena,Texas,"153,351",29.6586°N 95.1506°W
181,Mesquite,Texas,"143,736",32.7629°N 96.5888°W
182,Killeen,Texas,"143,400",31.0777°N 97.7320°W
184,McAllen,Texas,"142,212",26.2322°N 98.2464°W
196,Midland,Texas,"134,610",32.0246°N 102.1135°W
197,Waco,Texas,"134,432",31.5601°N 97.1860°W
200,Denton,Texas,"133,808",33.2166°N 97.1414°W
201,Carrollton,Texas,"133,351",32.9884°N 96.8998°W
223,Abilene,Texas,"122,225",32.4545°N 99.7381°W
227,Round Rock,Texas,"120,892",30.5252°N 97.6660°W
233,Beaumont,Texas,"118,299",30.0849°N 94.1453°W
234,Odessa,Texas,"117,871",31.8838°N 102.3411°W
249,Pearland,Texas,"113,570",29.5558°N 95.3231°W
250,Richardson,Texas,"113,347",32.9723°N 96.7081°W
255,College Station,Texas,"112,141",30.5852°N 96.2964°W
287,Tyler,Texas,"104,798",32.3173°N 95.3059°W
288,Wichita Falls,Texas,"104,724",33.9067°N 98.5259°W
289,Lewisville,Texas,"104,659",33.0466°N 96.9818°W
297,League City,Texas,"102,010",29.4901°N 95.1091°W
306,San Angelo,Texas,"100,702",31.4411°N 100.4505°W
24,Nashville,Tennessee,"660,388",36.1718°N 86.7850°W
25,Memphis,Tennessee,"652,717",35.1028°N 89.9774°W
129,Knoxville,Tennessee,"186,239",35.9707°N 83.9493°W
139,Chattanooga,Tennessee,"177,571",35.0660°N 85.2484°W
173,Clarksville,Tennessee,"150,287",36.5664°N 87.3452°W
205,Murfreesboro,Tennessee,"131,947",35.8522°N 86.4160°W
145,Sioux Falls,South Dakota,"174,360",43.5383°N 96.7320°W
198,Charleston,South Carolina,"134,385",32.8179°N 79.9590°W
199,Columbia,South Carolina,"134,309",34.0291°N 80.8980°W
272,North Charleston,South Carolina,"109,298",32.9178°N 80.0650°W
137,Providence,Rhode Island,"179,219",41.8231°N 71.4188°W
6,Philadelphia,Pennsylvania,"1,567,872",40.0094°N 75.1333°W
63,Pittsburgh,Pennsylvania,"303,625",40.4398°N 79.9766°W
231,Allentown,Pennsylvania,"120,443",40.5936°N 75.4784°W
26,Portland,Oregon,"639,863",45.5370°N 122.6500°W
151,Salem,Oregon,"167,419",44.9237°N 123.0232°W
154,Eugene,Oregon,"166,575",44.0567°N 123.1162°W
258,Gresham,Oregon,"111,523",45.5023°N 122.4416°W
285,Hillsboro,Oregon,"105,164",45.5280°N 122.9357°W
27,Oklahoma City,Oklahoma,"638,367",35.4671°N 97.5137°W
47,Tulsa,Oklahoma,"403,090",36.1279°N 95.9023°W
224,Norman,Oklahoma,"122,180",35.2406°N 97.3453°W
278,Broken Arrow,Oklahoma,"107,403",36.0365°N 95.7810°W
14,Columbus,Ohio,"860,090",39.9852°N 82.9848°W
51,Cleveland,Ohio,"385,809",41.4785°N 81.6794°W
65,Cincinnati,Ohio,"298,800",39.1402°N 84.5058°W
72,Toledo,Ohio,"278,508",41.6641°N 83.5819°W
118,Akron,Ohio,"197,633",41.0805°N 81.5214°W
189,Dayton,Ohio,"140,489",39.7774°N 84.1996°W
